responseid,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
10,18,495,1,1,4,5,2,3,4,,Christian Bale,Kevin Spacey,Morgan Freeman,Leonardo DiCaprio,,3,9172,14.1833,
10,19,495,1,18,4,4,2,1,5,,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,,3,12719,14.1833,
10,20,495,1,26,4,5,2,4,3,,$465 credited to your bank account in four years,$245 credited to your bank account in six months,$315 credited to your bank account in two years,$255 credited to your bank account in one year,,1,44828,14.1833,
10,21,495,1,9,2,5,2,,,,Either Scotland or Quebec become independent countries,Either Catalonia or Quebec become independent countries,,,,1,15844,14.1833,
10,22,495,1,6,5,4,3,5,1,2,Grapefruit,Apple,Pineapple,Mango,Orange,3,10750,14.1833,
10,23,495,1,24,4,3,4,5,2,,19,7,22,22,,4,32468,14.1833,
10,24,495,1,20,3,3,5,4,,,Pakistan,Bangladesh,Nigeria,,,1,10094,14.1833,
10,25,495,1,2,4,3,1,2,4,,Kathy Bates,Meryl Streep,Jody Foster,Amy Adams,,3,6000,14.1833,
10,26,495,1,12,2,1,2,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,,,,1,13297,14.1833,
10,27,495,1,14,3,4,5,1,,,Which man do you wonder when to meet?,With which pen do you wonder what to write?,Who did Bill buy the car to please?,,,2,35438,14.1833,
10,28,495,1,30,3,2,3,4,,,Insignia,Sony,Samsung,,,3,34593,14.1833,
10,29,495,1,17,2,2,5,,,,"London, United Kingdom","Seattle, United States",,,,1,47730,14.1833,
10,30,495,1,28,5,2,4,5,3,1,"3.9/5 stars, $263 per night","4.4/5 stars, $358 per night","4.8/5 stars, $406 per night","4.2/5 stars, $311 per night","3.6/5 stars, $215 per night",5,36797,14.1833,
10,31,495,1,32,3,5,1,3,,,10,90,35,,,2,44692,14.1833,
10,32,495,1,19,2,1,3,,,,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,,,1,30813,14.1833,
11,1,893,1,24,3,2,5,3,,,22,22,19,,,1,10234,6.3667,
11,2,893,1,16,4,5,2,4,1,,"Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions","Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence",,4,36719,6.3667,
11,3,893,1,1,3,5,4,3,,,Christian Bale,Leonardo DiCaprio,Morgan Freeman,,,2,8500,6.3667,
11,4,893,1,6,2,4,2,,,,Grapefruit,Orange,,,,1,5329,6.3667,
11,5,893,1,17,2,1,4,,,,"Warsaw, Poland","Paris, France",,,,2,7485,6.3667,
11,6,893,1,9,3,5,2,1,,,Either Scotland or Quebec become independent countries,Either Catalonia or Quebec become independent countries,Scotland becomes an independent country,,,3,12859,6.3667,
11,7,893,1,20,5,2,5,3,1,4,Brazil,Bangladesh,Pakistan,Indonesia,Nigeria,1,7234,6.3667,
11,8,893,1,21,3,4,5,2,,,Brazil,Australia,United States of America,,,1,5516,6.3667,
11,9,893,1,23,3,5,1,2,,,75,60,80,,,1,32891,6.3667,
11,10,893,1,4,2,1,4,,,,Tom Hanks and Scarlett Johansson,Scarlett Johansson and Angelina Jolie,,,,2,8640,6.3667,
11,11,893,1,25,2,5,3,,,,2:30,3:15,,,,2,12000,6.3667,
11,12,893,1,29,3,3,1,4,,,2:15,1:30,1:30,,,2,7250,6.3667,
11,13,893,1,31,3,2,1,3,,,9.99,18.71,13.72,,,2,14344,6.3667,
11,14,893,1,2,3,4,3,5,,,Amy Adams,Kathy Bates,Julianne Moore,,,2,7219,6.3667,
11,15,893,1,10,3,3,4,1,,,"Classic Hits (Rock and pop, roughly 1964-1989)",Country Music,News,,,1,5703,6.3667,
11,16,893,1,28,3,4,2,3,,,"4.4/5 stars, $358 per night","3.9/5 stars, $263 per night","4.2/5 stars, $311 per night",,,1,9875,6.3667,
11,17,893,1,32,2,3,2,,,,35,35,,,,1,4359,6.3667,
11,18,893,1,8,4,1,2,3,4,,Black and red,Black and purple,Black and blue,Blue and red,,1,6110,6.3667,
11,19,893,1,12,2,5,4,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/5.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,,,,2,10181,6.3667,
11,20,893,1,30,2,2,4,,,,Insignia,Samsung,,,,2,3359,6.3667,
11,21,893,1,14,4,5,4,1,3,,With which pen do you wonder what to write?,Which man do you wonder when to meet?,Who did Bill buy the car to please?,Where did Bill buy the car to drive?,,1,16922,6.3667,
11,22,893,1,27,4,5,3,4,2,,"8GB data per month, $58 per month","4 GB data per month, $49 per month","6GB data per month, $54 per month","2GB data per month, $45 per month",,1,6766,6.3667,
11,23,893,1,11,4,1,2,5,3,,The Beatles,Elvis Presley,Elton John,Michael Jackson,,4,18687,6.3667,
11,24,893,1,5,3,1,5,2,,,"Mozzarella, tomato sauce, basil","Mushrooms, green pepper, mozzarella, tomato sauce","Pepperoni, mushrooms, green pepper, mozzarella, tomato sauce",,,3,8578,6.3667,
11,25,893,1,7,4,2,3,1,4,,Purple,Pink,Red,Blue,,4,4766,6.3667,
